id,name,size,files,specs,agents,reasoning,connections,domain,matched_dimensoes,top_classes,top_funcs
C191,Conhecimento e Grafos: D8-N2-03: A GAT identifica explicitamente a lacuna:     'Perhaps due to its bord,14,test_d8_n2_gat_bibliography.py,-,-,"R54, R55, R56",-,Conhecimento e Grafos,"Metodologia Específica (keyword_map compatibility), População e Contexto",D8-N2-03: A GAT identifica explicitamente a lacuna:     'Perhaps due to its bord,-
C192,Integração Nexus: TestPositivista,14,test_r30_paradigmas.py,-,-,-,-,Integração Nexus,"Métodos de Investigação, Paradigmas Epistemológicos","TestPositivista, TestInterpretativista, Testes TDD para R30: Paradigma Positivista (SPEC-068) e Interpretativista (SPEC-",".test_ct01_spec_exists(), .test_ct02_keywords(), .test_ct03_skill_exists()"
C193,Ecossistema e Scanners: EcosystemCapabilitiesMCPServer,13,ecosystem_capabilities_server.py,-,-,"R60, R61, R62","C3, C9, C14, C18, C54",Ecossistema e Scanners,"Níveis Análise Específicos, População e Contexto, Temporalidade Específica",EcosystemCapabilitiesMCPServer,".__init__(), .get_tools(), .handle_request()"
C194,ASDE — Descoberta Científica: ASDECognitiveExperimentRunner,13,"asde_experiment_runner.py, metacognitive_search.py",-,-,"R35, R36, R37, R38, R39","C3, C14, C18, C92, C105",ASDE — Descoberta Científica,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação","ASDECognitiveExperimentRunner, Any, Executa o pipeline completo de descoberta científica acoplado a tomadas de decis",".__init__(), .run_experiment(), .save_log()"
C195,Evolução e Feedback: CycleResult,13,micro_integration.py,-,-,"R4, R5","C0, C108",Evolução e Feedback,-,"CycleResult, Resultado completo de um ciclo evolutivo, Executa ciclo completo com todas as 5 camadas",".execute_cycle(), ._extract_lessons(), ._identify_optimizations()"
C196,Evolução e Feedback: ConceptDrift,13,phd_learning_cores.py,-,-,"R4, R5","C108, C209, C242",Evolução e Feedback,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, Preenchimento de Ausências (R37) — Complemento para 80%+","ConceptDrift, ContinuousLearningCore, Detecção de mudança conceitual no domínio",".__init__(), .online_learning_update(), .detect_concept_drift()"
C197,Evolução e Feedback: ReasoningCore,13,phd_learning_cores.py,-,-,"R4, R5","C108, C209, C242",Evolução e Feedback,"Alto Raciocínio (Especificidades), Dados Específicos, Metodologia Específica (keyword_map compatibility)","ReasoningCore, Núcleo para raciocínio avançado, Raciocínio Dedutivo: Se A→B e A é verdadeiro, então B é verdadeiro",".__init__(), .deductive_reasoning(), .inductive_reasoning()"
C198,Ecossistema e Scanners: TestPotentialityScanner,13,test_potentiality_scanner.py,-,-,"R60, R61, R62",-,Ecossistema e Scanners,"Metodologia Específica (keyword_map compatibility), População e Contexto, Preenchimento de Ausências (R37) — Complemento para 80%+","TestPotentialityScanner, CT-4302: Valida se o algoritmo identifica corretamente capacidades dominantes (c, CT-4303: Testa se capacidades com múltiplas implementações são marcadas como red",".test_ct4301_dna_extraction_processing(), .test_ct4302_core_capabilities_identification(), .test_ct4303_redundancy_analysis()"
C199,Testes e Validação: TestIRISPlus,13,test_social_impact_scanner.py,-,-,-,C181,Testes e Validação,"Alto Dados (Expansão de Cobertura), Dados Específicos, Metodologia Específica (keyword_map compatibility)","TestIRISPlus, CT-4404: Garante a conformidade com padrão GIIN IRIS+, Preenchimento dos 4 indicadores obrigatórios",".setup_method(), .test_ct4404_basic_indicators(), .test_ct4404_validation_passes()"
C200,MCP e Adaptadores: TestSciHubBridge,13,test_scihub_bridge.py,-,-,"R54, R55",-,MCP e Adaptadores,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação",TestSciHubBridge,".setUpClass(), .test_bridge_initialized(), .test_sources_discovered()"
C201,Integração Nexus: Cli,12,cli.py,-,-,-,"C94, C99, C112, C132",Integração Nexus,-,-,-
C202,Integração Nexus: CausalGraph,12,rumi_causal_discovery.py,-,-,-,"C54, C73, C219",Integração Nexus,"Alto Dados (Expansão de Cobertura), Metodologia Específica (keyword_map compatibility)","CausalGraph, Grafo causal simples (DAG), Testa uma hipotese causal",".add_edge(), .to_dict(), .test_hypothesis()"
C203,Testes e Validação: Comparacao Justa,12,test_comparacao_justa.py,-,-,-,-,Testes e Validação,"Metodologia Específica (keyword_map compatibility), População e Contexto",-,-
C204,Testes e Validação: D17 — Inteligência Artificial Constitucional CORA-Eval Suite · Levels N1–N4 · 8,12,test_d17_ia_constitucional.py,-,-,-,"C224, C225, C263, C265, C264",Testes e Validação,Metodologia Específica (keyword_map compatibility),D17 — Inteligência Artificial Constitucional CORA-Eval Suite · Levels N1–N4 · 8,-
C205,Metacognição e Self-Model: Any,11,"metacognitive_search.py, test_metacognitive_search.py",-,-,"R31, R32, R33, R34","C3, C155, C162, C194",Metacognição e Self-Model,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação","Any, Função de entrada que unifica e executa a busca metacognitiva com base em dificu, CT-062-011: Validar que o orçamento de busca para nível fácil possui profundidad",".search(), ._next_id(), .test_ct_062_011_search_budget_easy()"
C206,MCP e Adaptadores: Any,11,mcp_active_discovery.py,-,-,"R54, R55","C160, C184, C226, C250",MCP e Adaptadores,"Alto Raciocínio (Especificidades), Dados Específicos, Domínios de Conhecimento Cruzados","Any, ContextOptimizer",".score_tool_for_task(), .optimize_tool_descriptions(), .estimate_token_reduction()"
C207,MCP e Adaptadores: Register Ecosystem Mcp,11,register_ecosystem_mcp.py,-,-,"R54, R55",-,MCP e Adaptadores,-,-,-
C208,Geral: Chunk,11,collections.py,-,-,-,"C112, C123, C132",Geral,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+","Chunk, SearchResult",".list_collections(), .search(), .search_all()"
C209,Evolução e Feedback: UncertaintyType,11,phd_learning_cores.py,-,-,"R4, R5","C0, C108, C123, C178, C186",Evolução e Feedback,"Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+","UncertaintyType, ReasoningType, ReasoningStep",.create_concept()
C210,Conhecimento e Grafos: KnowledgeRepresentationCore,11,phd_learning_cores.py,-,-,"R54, R55, R56","C108, C209, C242",Conhecimento e Grafos,"Metodologia Específica (keyword_map compatibility), População e Contexto, Preenchimento de Ausências (R37) — Complemento para 80%+","KnowledgeRepresentationCore, Núcleo para representação estruturada de conhecimento, Adicionar relação entre conceitos",".__init__(), .add_relationship(), .query_knowledge_graph()"
C211,Agentes e Skills: Refactor Oversize Skills V3,11,refactor_oversize_skills_v3.py,-,-,"R56, R57",-,Agentes e Skills,-,-,-
C212,Sincronização e Orquestração: TestMasterOrchestrator,11,test_master_orchestrator.py,-,-,"R54, R56",-,Sincronização e Orquestração,"Metodologia Específica (keyword_map compatibility), População e Contexto, Preenchimento de Ausências (R37) — Complemento para 80%+","TestMasterOrchestrator, CT-3601: Verifica se o MasterOrchestrator existe e possui o escopo correto (SDD), CT-3603: Garante que o MasterOrchestrator preveja delegação ao StageOrchestrator",".test_ct3601_agent_exists_and_properly_configured(), .test_ct3602_spec_documentation_exists(), .test_ct3603_delegation_capabilities_mapped()"
C213,Testes e Validação: TestIdentifiers,11,test_validators.py,-,-,-,C254,Testes e Validação,-,TestIdentifiers,".test_valid_identifier(), .test_invalid_identifier(), .test_identifier_custom_field()"
C214,Testes e Validação: TestAutoSwarm,11,test_auto_swarm_builder.py,-,-,-,C154,Testes e Validação,-,TestAutoSwarm,".test_default_init(), .test_agent_spec_defaults(), .test_run_return_config()"
C215,Testes e Validação: TestTransparencyReport,11,test_anticircularidade.py,-,-,-,C123,Testes e Validação,-,TestTransparencyReport,"._generate_report(), .test_report_has_all_sections(), .test_decision_matrix_scenario_A()"
C216,Testes e Validação: Aprovacao Revisor,11,test_aprovacao_revisor.py,-,-,-,-,Testes e Validação,"Alto Dados (Expansão de Cobertura), Alto Raciocínio (Especificidades), Dados Específicos",-,-
C217,Testes do Ecossistema: TestDataOrchestrator,11,test_ecosystem_health.py,-,-,-,C235,Testes do Ecossistema,Metodologia Específica (keyword_map compatibility),TestDataOrchestrator,".setUpClass(), .test_data_orchestrator_import(), .test_ecosystem_hooks_import()"
C218,Testes e Validação: TestAuditSystem,11,test_ecosystem_health.py,-,-,-,C235,Testes e Validação,Metodologia Específica (keyword_map compatibility),TestAuditSystem,".setUpClass(), .test_interaction_logger_singleton(), .test_logger_writes_jsonl()"
C219,Testes e Validação: CausalGenerator,10,"rumi_causal_discovery.py, test_rumi.py",-,-,-,"C73, C202",Testes e Validação,"Alto Dados (Expansão de Cobertura), Metodologia Específica (keyword_map compatibility)","CausalGenerator, Gera hipoteses causais a partir de lista de variaveis, Gera hipotese causal com mecanismo explicito",".generate_from_variables(), .generate_with_mechanism()"
C220,Testes e Validação: AvroSchema,10,test_spec020_data_streaming.py,-,-,-,C168,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+","AvroSchema, SchemaRegistry",".__init__(), .validate(), .register()"
C221,Testes e Validação: BadExecuteAgent,10,test_agent_manager.py,-,-,-,"C187, C245, C251",Testes e Validação,-,"BadExecuteAgent, TestAgentHealth",".__init__(), .initialize(), .execute()"
C222,Evolução e Feedback: TestFeedbackLoopEngine,10,test_evolution_loop_di.py,-,-,"R4, R5",C8,Evolução e Feedback,-,TestFeedbackLoopEngine,".test_init_with_mock(), .test_record_outcome(), .test_extract_learnings_empty()"
C223,Testes e Validação: TestClopperPearson,10,test_anticircularidade.py,-,-,-,C123,Testes e Validação,Metodologia Específica (keyword_map compatibility),"TestClopperPearson, Clopper-Pearson exact binomial confidence interval, Edge case: 100% de concordancia (30/30)",".clopper_pearson_ci(), .test_ci_binomial_exact(), .test_ci_zero_failures()"
C224,Testes e Validação: D17 Ia Constitucional,10,test_d17_ia_constitucional.py,-,-,-,"C204, C225",Testes e Validação,-,-,-
C225,Testes e Validação: D17 Ia Constitucional,9,test_d17_ia_constitucional.py,-,-,-,"C204, C224",Testes e Validação,Métodos de Investigação,-,-
C226,MCP e Adaptadores: ToolchainStep,9,"mcp_active_discovery.py, test_r43_active_mcp_discovery.py",-,-,"R54, R55","C130, C160, C206, C250",MCP e Adaptadores,-,"ToolchainStep, ToolchainBuilder",".build_toolchain(), .__init__()"
C227,Integração Nexus: NexusIntegration,9,nexus_integration.py,-,-,-,"C2, C4, C134, C149, C154",Integração Nexus,Teorias Específicas (keyword_map compatibility),NexusIntegration,".register_agent(), .create_social_algorithm(), .execute_pipeline()"
C228,Docling e PDF: PDFContextOffloader,9,pdf_context_offload.py,-,-,-,"C8, C93, C134, C150",Docling e PDF,Metodologia Específica (keyword_map compatibility),PDFContextOffloader,".offload_pdf_knowledge(), .get_pdf_knowledge_context(), .scan_and_offload_all_pdfs()"
C229,Agentes e Skills: Refactor Oversize Skills,9,refactor_oversize_skills.py,-,-,"R56, R57",-,Agentes e Skills,"Metodologia Específica (keyword_map compatibility), Preenchimento de Ausências (R37) — Complemento para 80%+",-,-
C230,Integração Nexus: Dissertation Compiler,9,test_dissertation_compiler.py,-,-,-,"C303, C304, C305, C306, C307",Integração Nexus,-,-,-
C231,Testes e Validação: StatefulProcessor,9,test_spec020_data_streaming.py,-,-,-,C168,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Níveis Análise Específicos, Níveis de Análise","StatefulProcessor, TestStatefulProcessing, CT-008: Stateful Processing — Agregação com Estado",".__init__(), .define_aggregation(), .process()"
C232,Testes e Validação: TestInitAndReset,9,test_backward_compat.py,-,-,-,"C27, C68, C69",Testes e Validação,População e Contexto,TestInitAndReset,".test_init_registers_both_services(), .test_reset_clears_all(), .test_double_init_skips()"
C233,Testes e Validação: TestNumeric,9,test_validators.py,-,-,-,C254,Testes e Validação,-,TestNumeric,".test_in_range_ok(), .test_in_range_fail(), .test_positive_ok()"
C234,Raciocínio e Lógica: TestMicroReasoning,9,test_micro_reasoning_types.py,-,-,"R1, R2, R3, R4, R5",C0,Raciocínio e Lógica,-,TestMicroReasoning,".test_init_has_types(), .test_valid_types(), .test_select_returns_tuple()"
C235,Testes do Ecossistema: TestReasoningOrchestrator,9,test_ecosystem_health.py,-,-,-,"C158, C217, C218",Testes do Ecossistema,"Metodologia Específica (keyword_map compatibility), Referenciais Teóricos, Teoria dos Jogos (ENRICHED_KW compatibility)",TestReasoningOrchestrator,".test_reasoning_bridge_import(), .test_game_theory_strategies_count(), .test_total_reasoning_types()"
C236,Geral: Ecosystem Config,8,ecosystem_config.py,-,-,-,-,Geral,-,-,-
C237,Agentes e Skills: Fix All Skills,8,fix_all_skills.py,-,-,"R56, R57",C123,Agentes e Skills,-,-,-
C238,Testes e Validação: TestMarceloClaroAgentConfig,8,test_marceloclaro.py,-,-,-,C253,Testes e Validação,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação",TestMarceloClaroAgentConfig,".test_ct4701_agent_exists_and_metadata_correct(), .test_ct4702_all_required_tools_enabled(), .test_ct4703_security_permissions_configured()"
C239,Testes do Ecossistema: TestIPCCommunication,8,test_ecosystem_integration.py,-,-,-,"C256, C257, C258, C259, C260",Testes do Ecossistema,"Metodologia Específica (keyword_map compatibility), Perspectiva Temporal, Temporalidade Específica",TestIPCCommunication,.test_ipc_command_response_cycle()
C240,ASDE — Descoberta Científica: R35 Research Skills,8,test_r35_research_skills.py,-,-,"R35, R36, R37, R38, R39","C345, C346, C347, C348, C349",ASDE — Descoberta Científica,"Alto Dados (Expansão de Cobertura), Alto Raciocínio (Especificidades), Metodologia Específica (keyword_map compatibility)",-,-
C241,MCP e Adaptadores: Mcp Self Healer,7,mcp_self_healer.py,-,-,"R54, R55",-,MCP e Adaptadores,Temporalidade Específica,-,-
C242,Evolução e Feedback: AgentCoreEvolution,7,phd_learning_cores.py,-,-,"R4, R5","C178, C186, C196, C197, C209",Evolução e Feedback,Níveis Análise Específicos,"AgentCoreEvolution, Agregador de todos os núcleos para evolução de agente, Gerar relatório de evolução do agente",".__init__(), .generate_evolution_report(), .to_dict()"
C243,Geral: MP,7,ci_validate.py,-,-,-,-,Geral,-,"MP, MAT",.__init__()
C244,Testes e Validação: FailingMockAgent,7,test_agent_manager.py,-,-,-,"C245, C271",Testes e Validação,Metodologia Específica (keyword_map compatibility),FailingMockAgent,".initialize(), .execute(), .health_check()"
C245,Testes e Validação: TestAgentDestruction,7,test_agent_manager.py,-,-,-,"C187, C221, C244, C251, C252",Testes e Validação,-,TestAgentDestruction,".test_destroy_agent(), .test_destroy_nonexistent(), .test_destroy_calls_destroy_method()"
C246,Testes e Validação: TestTaskQueueManagement,7,test_task_queue.py,-,-,-,C141,Testes e Validação,"Alto Dados (Expansão de Cobertura), Metodologia Específica (keyword_map compatibility), Métodos de Investigação",TestTaskQueueManagement,".test_cancel_pending_task(), .test_cancel_running_task(), .test_get_tasks_filter_by_status()"
C247,Testes e Validação: TestJsonAndSchema,7,test_validators.py,-,-,-,C254,Testes e Validação,-,TestJsonAndSchema,".test_valid_json_dict(), .test_valid_json_list(), .test_invalid_json()"
C248,Testes e Validação: TestPaths,7,test_validators.py,-,-,-,C254,Testes e Validação,-,TestPaths,".test_path_exists(), .test_path_not_exists(), .test_directory_valid()"
C249,Testes e Validação: TestStrings,7,test_validators.py,-,-,-,C254,Testes e Validação,-,TestStrings,".test_non_empty_ok(), .test_non_empty_fail(), .test_max_length_ok()"
C250,MCP e Adaptadores: MetacognitiveLoop,6,"test_r43_active_mcp_discovery.py, mcp_active_discovery.py",-,-,"R54, R55","C130, C160, C206, C226",MCP e Adaptadores,"Alto Raciocínio (Especificidades), Dados Específicos, Domínios de Conhecimento Cruzados",MetacognitiveLoop,-
C251,Testes e Validação: TestAgentExecution,6,test_agent_manager.py,-,-,-,"C187, C221, C245",Testes e Validação,-,TestAgentExecution,".test_run_agent(), .test_run_nonexistent_agent(), .test_run_not_ready()"
C252,Testes e Validação: TestAgentQueries,6,test_agent_manager.py,-,-,-,"C187, C245",Testes e Validação,-,TestAgentQueries,".test_list_instances(), .test_list_instances_filter_by_type(), .test_list_instances_filter_by_status()"
C253,Testes e Validação: TestMarceloClaroCLIUnification,6,test_marceloclaro.py,-,-,-,"C238, C288, C289, C290, C291",Testes e Validação,Metodologia Específica (keyword_map compatibility),TestMarceloClaroCLIUnification,.test_ct4717_cli_unification_documented()
C254,Testes e Validação: TestCustomFieldNames,6,test_validators.py,-,-,-,"C213, C233, C247, C248, C249",Testes e Validação,Metodologia Específica (keyword_map compatibility),TestCustomFieldNames,".test_identifier_custom_field(), .test_score_custom_field()"
C255,Testes e Validação: TestStateManagerResilience,6,test_ecosystem_integration.py,-,-,-,C239,Testes e Validação,"Metodologia Específica (keyword_map compatibility), Métodos de Investigação, Preenchimento de Ausências (R37) — Complemento para 80%+",TestStateManagerResilience,".test_file_backend_fallback(), .test_unified_state_routing()"
C256,Testes e Validação: TestHealthCheck,6,test_ecosystem_integration.py,-,-,-,C239,Testes e Validação,-,TestHealthCheck,".test_health_check_structure(), .test_health_check_detects_mcp_offline()"
C257,Testes e Validação: TestKnowledgeGraph,6,test_ecosystem_integration.py,-,-,-,C239,Testes e Validação,População e Contexto,TestKnowledgeGraph,".test_entity_creation_and_relation(), .test_entity_search()"
C258,Testes e Validação: TestSpecCoverage,6,test_ecosystem_integration.py,-,-,-,C239,Testes e Validação,Metodologia Específica (keyword_map compatibility),TestSpecCoverage,".test_spec_coverage_calculation(), .test_spec_file_structure()"
C259,Testes e Validação: TestAgentSkillMCPChain,6,test_ecosystem_integration.py,-,-,-,C239,Testes e Validação,Metodologia Específica (keyword_map compatibility),TestAgentSkillMCPChain,".test_agent_skill_mcp_chain_mocked(), .test_agent_failure_propagates()"
C260,Testes e Validação: TestTokenBudget,6,test_ecosystem_integration.py,-,-,-,C239,Testes e Validação,Metodologia Específica (keyword_map compatibility),TestTokenBudget,".test_skill_md_token_estimate(), .test_skill_description_length()"
C261,Testes e Validação: TestCIPipeline,6,test_ecosystem_integration.py,-,-,-,C239,Testes e Validação,-,TestCIPipeline,".test_ci_pipeline_has_five_gates(), .test_ci_pipeline_gates_ordered()"
C262,Testes e Validação: TestEvolutionCycle,6,test_ecosystem_integration.py,-,-,-,C239,Testes e Validação,Níveis Análise Específicos,TestEvolutionCycle,".test_evolution_cycle_stages(), .test_evolution_rollback_on_failure()"
C263,Testes e Validação: D17 Ia Constitucional,6,test_d17_ia_constitucional.py,-,-,-,C204,Testes e Validação,-,-,-
C264,Testes e Validação: N1-01: Harm classifier returns 'high' or 'critical' for concentrated dangerous k,6,test_d17_ia_constitucional.py,-,-,-,C204,Testes e Validação,-,N1-01: Harm classifier returns 'high' or 'critical' for concentrated dangerous k,-
C265,"Testes e Validação: Detect adversarial jailbreak patterns; return (is_adversarial, matched_patterns)",6,test_d17_ia_constitucional.py,-,-,-,C204,Testes e Validação,-,"Detect adversarial jailbreak patterns; return (is_adversarial, matched_patterns)",-
C266,Testes e Validação: D17 Ia Constitucional,6,test_d17_ia_constitucional.py,-,-,-,C204,Testes e Validação,Alto Dados (Expansão de Cobertura),-,-
C267,Testes e Validação: Revisao Critica Final,6,"test_revisao_critica_final.py, test_validacao_externa.py, test_validacao_rigorosa.py",-,-,-,"C147, C159, C176",Testes e Validação,"Alto Raciocínio (Especificidades), População e Contexto, Temporalidade Específica",-,-
C268,Integração Nexus: from_container(),5,"mcp_router.py, test_nexus_di.py",-,-,-,"C5, C19, C27, C69",Integração Nexus,-,-,".from_container(), .test_mcp_router_from_container()"
C269,Agentes e Skills: Skill Migrator,5,skill_migrator.py,-,-,"R56, R57",C123,Agentes e Skills,-,-,-
C270,Testes e Validação: BackpressureError,5,test_spec020_data_streaming.py,-,-,-,"C47, C168, C169",Testes e Validação,-,"BackpressureError, TestBackpressure, CT-007: Backpressure — Slow Consumer Limit",.test_backpressure()
C271,Testes e Validação: TestAgentCreation,5,test_agent_manager.py,-,-,-,"C187, C244, C245",Testes e Validação,-,TestAgentCreation,".test_create_agent(), .test_create_agent_custom_id(), .test_create_unregistered_type()"
C272,Testes e Validação: TestGenericTypes,5,test_validators.py,-,-,-,C254,Testes e Validação,-,TestGenericTypes,".test_validate_type_ok(), .test_validate_type_fail(), .test_one_of_ok()"
C273,Sincronização e Orquestração: TestMetaOrchestrate,5,test_meta_orchestrator.py,-,-,"R54, R56",-,Sincronização e Orquestração,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação",TestMetaOrchestrate,".test_returns_true(), .test_output_steps()"
C274,Testes e Validação: TestUncertaintySampling,5,test_anticircularidade.py,-,-,-,C123,Testes e Validação,-,TestUncertaintySampling,"._compute_entropy(), .test_uncertainty_sampling_beats_random()"
C275,Testes e Validação: test_ct_061_009_contar_scripts(),4,"dashboard_server.py, test_dashboard.py",-,-,-,"C114, C171",Testes e Validação,-,-,.test_ct_061_009_contar_scripts()
C276,Sincronização e Orquestração: Cores,4,meta_orchestrator.py,-,-,"R54, R56",C123,Sincronização e Orquestração,"Dados Específicos, Metodologia Específica (keyword_map compatibility), Métodos de Investigação",Cores,-
C277,Evolução e Feedback: TestEvolutionLoop,4,test_evolution_pdf_integration.py,-,-,"R4, R5","C4, C93, C111, C150",Evolução e Feedback,-,TestEvolutionLoop,".test_cycle_creation(), .test_full_cycle_execution()"
C278,Testes e Validação: TestMarceloClaroDelegationChain,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,Metodologia Específica (keyword_map compatibility),TestMarceloClaroDelegationChain,.test_ct4705_delegation_to_suborchestrators()
C279,Testes e Validação: TestMarceloClaroTrustEngine,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,Metodologia Específica (keyword_map compatibility),TestMarceloClaroTrustEngine,.test_ct4706_trust_engine_integration()
C280,Testes e Validação: TestMarceloClaroLatexDirective,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,-,TestMarceloClaroLatexDirective,.test_ct4707_latex_template_directive_exists()
C281,Testes e Validação: TestMarceloClaroTraceability,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,População e Contexto,TestMarceloClaroTraceability,.test_ct4708_ecosystem_state_reference()
C282,Testes e Validação: TestMarceloClaroTokenEconomy,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,-,TestMarceloClaroTokenEconomy,.test_ct4709_token_economy_monitored()
C283,Testes e Validação: TestMarceloClaroPotentialityScanner,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,Metodologia Específica (keyword_map compatibility),TestMarceloClaroPotentialityScanner,.test_ct4710_potentiality_scanner_referenced()
C284,Testes e Validação: TestMarceloClaroCommand,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,-,TestMarceloClaroCommand,.test_ct4711_command_file_exists()
C285,Testes e Validação: TestMarceloClaroSpec42,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,-,TestMarceloClaroSpec42,.test_ct4712_spec42_exists()
C286,Testes e Validação: TestMarceloClaroBridgeIntegration,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,Metodologia Específica (keyword_map compatibility),TestMarceloClaroBridgeIntegration,.test_ct4713_bridge_typescript_recognizes_marceloclaro()
C287,Testes e Validação: TestMarceloClaroDeterministicTemperature,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,Metodologia Específica (keyword_map compatibility),TestMarceloClaroDeterministicTemperature,.test_ct4714_temperature_is_deterministic()
C288,Testes e Validação: TestMarceloClaroPersona,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,Teorias Específicas (keyword_map compatibility),TestMarceloClaroPersona,.test_ct4715_persona_section_with_three_rules()
C289,Testes e Validação: TestMarceloClaroInvocationInstructions,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,Metodologia Específica (keyword_map compatibility),TestMarceloClaroInvocationInstructions,.test_ct4716_invocation_steps_documented()
C290,Testes e Validação: TestMarceloClaroDissertationTraceability,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,"Metodologia Específica (keyword_map compatibility), População e Contexto",TestMarceloClaroDissertationTraceability,.test_ct4718_dissertation_reference()
C291,Testes e Validação: TestMarceloClaroDelegationConstraint,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,Metodologia Específica (keyword_map compatibility),TestMarceloClaroDelegationConstraint,.test_ct4719_user_never_coordinates()
C292,Testes e Validação: TestMarceloClaroTDDSDDMandatory,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,-,TestMarceloClaroTDDSDDMandatory,.test_ct4720_tdd_sdd_mandatory()
C293,Testes e Validação: TestMarceloClaroFivePillars,4,test_marceloclaro.py,-,-,-,C253,Testes e Validação,-,TestMarceloClaroFivePillars,.test_ct4704_five_pillars_explicitly_mapped()
C294,Testes e Validação: TestPluginLifecycle,4,test_ecosystem_integration.py,-,-,-,C239,Testes e Validação,-,TestPluginLifecycle,.test_plugin_discover_load_unload()
C295,Testes e Validação: D17 Ia Constitucional,4,test_d17_ia_constitucional.py,-,-,-,C204,Testes e Validação,-,-,-
C296,Testes e Validação: Assign reward scores using simple quality heuristic + Bradley-Terry normalisatio,4,test_d17_ia_constitucional.py,-,-,-,C204,Testes e Validação,Métodos de Investigação,Assign reward scores using simple quality heuristic + Bradley-Terry normalisatio,-
C297,Geral: Health Validator,3,health_validator.py,-,-,-,-,Geral,-,-,-
C298,Docling e PDF: Html To Pdf,3,html_to_pdf.py,-,-,-,-,Docling e PDF,-,-,-
C299,Testes e Validação: FeeSchedule,3,test_spec023_agent_economics.py,-,-,-,"C16, C15, C47",Testes e Validação,-,FeeSchedule,.__init__()
C300,Geral: Start Dashboard,2,start_dashboard.py,-,-,-,-,Geral,-,-,-
C301,Docling e PDF: Md To Pdf Simple,2,md_to_pdf_simple.py,-,-,-,-,Docling e PDF,-,-,-
C302,Testes e Validação: Context Offload,2,test_context_offload.py,-,-,-,-,Testes e Validação,-,-,-
C303,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C304,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C305,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C306,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C307,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C308,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C309,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C310,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C311,Integração Nexus: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Integração Nexus,-,-,-
C312,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C313,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C314,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C315,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C316,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C317,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
C318,Testes e Validação: Dissertation Compiler,2,test_dissertation_compiler.py,-,-,-,C230,Testes e Validação,-,-,-
